id_tramite,nombre_solicitante,dni_solicitante,fecha_solicitud,tipo_tramite,area_responsable,canal_entrada,monto_asociado,documentos_completos,solicitante_declara_urgencia,dias_desde_solicitud,prioridad
1000,Lisandro Alcolea Abascal,10.48272984/j1b4n57,2025-06-08,Pago de Impuestos,Desarrollo Urbano,Telefónico,7934.15,True,False,23,Media
1001,Chucho Manrique Pazos,10.16377566/f4c1e36,2025-06-03,Licencia de Funcionamiento,Registro Civil,En Línea,1463.53,True,False,28,Media
1002,Julio César Serrano Quintanilla,10.63487675/f9s3r88,2025-06-01,Licencia de Construcción,Registro Civil,En Línea,199935.21,True,False,30,Media
1003,Amor Gascón Perez,10.99668400/d3y5e38,2025-05-19,Solicitud de Partida de Nacimiento,Registro Civil,Presencial,0.0,True,False,43,Media
1004,Lázaro Sacristán Galindo,10.1503773/c4u0j81,2025-06-27,Licencia de Funcionamiento,Desarrollo Urbano,Presencial,1599.9,True,False,4,Baja
1005,Evita Marta Cabezas Sanmiguel,10.57410480/l2g5q01,2025-06-06,Licencia de Funcionamiento,Seguridad Ciudadana,Presencial,1726.63,True,False,25,Media
1006,Rafaela Guerrero Iglesia,10.57312353/m5c9s71,2025-05-19,Licencia de Funcionamiento,Registro Civil,En Línea,1572.7,True,False,43,Media
1007,Concha Morena Crespi Vigil,10.74853946/y7f2f92,2025-06-12,Permiso para Evento Público,Tesorería,Telefónico,427.48,True,False,19,Media
1008,Ruth Roca Sabater,10.7930871/b5h2t19,2025-06-25,Solicitud de Partida de Nacimiento,Registro Civil,Presencial,0.0,True,False,6,Baja
1009,Félix Arce-Cámara,10.99187703/n2d3d76,2025-05-22,Reclamo de Servicio,Tesorería,Presencial,0.0,False,True,40,Urgente
1010,Celestina Pablo Estevez,10.34787340/x3u3u04,2025-05-07,Licencia de Construcción,Tesorería,En Línea,136458.98,True,True,55,Urgente
1011,Jesusa Godoy Bayona,10.38386305/h9x6l13,2025-05-15,Solicitud de Partida de Nacimiento,Servicios Públicos,Presencial,0.0,False,False,47,Urgente
1012,Montserrat Parejo Manrique,10.43782967/a0c9a92,2025-06-13,Licencia de Construcción,Desarrollo Urbano,En Línea,137351.41,True,False,18,Media
1013,Esmeralda Colom Azcona,10.69782431/v5t3i08,2025-06-23,Permiso para Evento Público,Servicios Públicos,Telefónico,809.72,True,False,8,Baja
1014,Herberto Yuste Robledo,10.61240911/w1c1u51,2025-05-27,Licencia de Funcionamiento,Registro Civil,Presencial,1523.82,False,False,35,Urgente
1015,Matilde Arcos Echevarría,10.40862833/f9k8i67,2025-06-25,Solicitud de Partida de Nacimiento,Servicios Públicos,En Línea,0.0,True,False,6,Baja
1016,Juan Manuel Caballero Sacristán,10.91997245/a8d4p81,2025-05-15,Permiso para Evento Público,Registro Civil,En Línea,1318.57,True,True,47,Urgente
1017,Ani Cortina Roda,10.99589524/p7l6x32,2025-05-06,Solicitud de Partida de Nacimiento,Registro Civil,Presencial,0.0,True,False,56,Media
1018,Reynaldo Fabra,10.93507709/u0m0g51,2025-05-08,Permiso para Evento Público,Tesorería,Telefónico,710.56,True,False,54,Media
1019,Reyes Daza Oliver,10.14806205/g1n0w39,2025-06-18,Licencia de Funcionamiento,Desarrollo Urbano,Presencial,2459.8,True,True,13,Media
1020,Andrea Almazán Amorós,10.78754846/c1i6h47,2025-06-03,Solicitud de Partida de Nacimiento,Seguridad Ciudadana,En Línea,0.0,True,False,28,Media
1021,Odalis Neira Gelabert,10.91455788/i0j8b30,2025-05-22,Permiso para Evento Público,Seguridad Ciudadana,Telefónico,1085.09,True,False,40,Media
1022,Sebastian Segura Quiroga,10.73528123/w6z6k00,2025-06-30,Permiso para Evento Público,Tesorería,Telefónico,1234.19,True,False,1,Baja
1023,Clementina Mateu-Mariscal,10.61099804/t1y8m07,2025-06-30,Licencia de Construcción,Tesorería,Presencial,22132.06,True,True,1,Media
1024,Tomás Cabrero Pallarès,10.42609281/k6i2b31,2025-06-05,Reclamo de Servicio,Registro Civil,Presencial,0.0,True,False,26,Alta
1025,Mayte Villar Barreda,10.14249827/o6b6b20,2025-06-13,Reclamo de Servicio,Tesorería,Telefónico,0.0,True,False,18,Alta
1026,Glauco Cerro,10.62456313/p1r4w59,2025-05-27,Licencia de Funcionamiento,Servicios Públicos,Telefónico,1064.12,True,False,35,Media
1027,Luciana de Llanos,10.80586058/v1y4j93,2025-05-03,Solicitud de Partida de Nacimiento,Registro Civil,Presencial,0.0,True,False,59,Media
1028,Inmaculada Navarro Pedraza,10.98660710/x3d5n80,2025-06-16,Licencia de Funcionamiento,Registro Civil,Presencial,720.73,True,False,15,Baja
1029,Carlos Alvarez Olivé,10.67486941/l0y2i44,2025-05-09,Licencia de Construcción,Seguridad Ciudadana,Presencial,51619.03,True,True,53,Urgente
1030,Paz Tormo Elías,10.75272438/m2d4a11,2025-05-06,Pago de Impuestos,Registro Civil,En Línea,5452.71,True,False,56,Media
1031,Heriberto Zamora Carmona,10.1057083/e7c3n35,2025-06-23,Permiso para Evento Público,Registro Civil,Telefónico,955.6,True,False,8,Baja
1032,Felipe Vara Lillo,10.55457427/t6m1m55,2025-06-13,Licencia de Funcionamiento,Seguridad Ciudadana,En Línea,1179.78,True,False,18,Media
1033,Ramiro Porras Conesa,10.447814/f3c1x08,2025-05-02,Licencia de Construcción,Servicios Públicos,En Línea,9242.4,True,True,60,Urgente
1034,Martirio Roselló Baeza,10.40419391/z4v1v17,2025-05-28,Pago de Impuestos,Seguridad Ciudadana,En Línea,1336.84,True,False,34,Media
1035,Primitiva Alcolea Rubio,10.63094761/l2f6p49,2025-06-16,Licencia de Funcionamiento,Seguridad Ciudadana,Telefónico,2231.04,False,False,15,Alta
1036,Florencia Gaya Solana,10.81126513/u8h4r39,2025-05-09,Licencia de Construcción,Tesorería,Presencial,128361.38,True,False,53,Alta
1037,Néstor Peiró Zabala,10.93821896/a5q7y01,2025-06-18,Pago de Impuestos,Desarrollo Urbano,Telefónico,8238.28,True,False,13,Baja
1038,Trinidad Arjona Quirós,10.17572262/b5q0q30,2025-06-06,Licencia de Funcionamiento,Servicios Públicos,Presencial,2100.28,True,False,25,Media
1039,Dan Martorell Pedrosa,10.51756310/w4c3o45,2025-06-16,Pago de Impuestos,Registro Civil,Presencial,6073.04,True,False,15,Baja
1040,Máximo del Frutos,10.67328576/l7z2w78,2025-06-19,Licencia de Funcionamiento,Registro Civil,Presencial,2173.29,False,False,12,Alta
1041,Mercedes Torre Múgica,10.20507005/v6e4s79,2025-06-21,Solicitud de Partida de Nacimiento,Seguridad Ciudadana,Presencial,0.0,True,False,10,Baja
1042,Cándida de Guardia,10.80223246/e9j2c47,2025-06-28,Licencia de Construcción,Tesorería,En Línea,124810.9,True,True,3,Media
1043,Bernardita Vicente Moles,10.461597/w7k1z48,2025-05-14,Reclamo de Servicio,Tesorería,Presencial,0.0,True,False,48,Urgente
1044,Ámbar Alsina,10.38915865/v2y9p73,2025-06-16,Pago de Impuestos,Servicios Públicos,En Línea,3658.34,True,False,15,Baja
1045,Juanito Gilabert,10.38154612/o4f7c26,2025-05-06,Solicitud de Partida de Nacimiento,Desarrollo Urbano,Telefónico,0.0,True,False,56,Media
1046,Melchor Roldan Peláez,10.62784276/g5c5s30,2025-06-29,Licencia de Funcionamiento,Tesorería,En Línea,2452.47,True,False,2,Baja
1047,Dora Mercader Gaya,10.37349655/k3d1s53,2025-05-21,Licencia de Funcionamiento,Seguridad Ciudadana,En Línea,1740.41,True,False,41,Media
1048,Marcial García Iniesta,10.45546707/g1z4k02,2025-05-06,Solicitud de Partida de Nacimiento,Registro Civil,Telefónico,0.0,True,True,56,Urgente
1049,Benigno Moll-Puente,10.54955224/v6d0m05,2025-06-18,Licencia de Funcionamiento,Registro Civil,En Línea,2466.95,True,False,13,Baja
1050,Raquel Iborra Paz,10.39220353/t3a5s98,2025-05-07,Solicitud de Partida de Nacimiento,Desarrollo Urbano,Presencial,0.0,True,False,55,Media
1051,Eugenio Rosa Román,10.34264957/d7j6t16,2025-06-11,Reclamo de Servicio,Servicios Públicos,En Línea,0.0,False,False,20,Urgente
1052,Isaías Carrera-Girón,10.13853468/a3c2e48,2025-05-12,Pago de Impuestos,Seguridad Ciudadana,En Línea,9733.02,True,False,50,Media
1053,Leonardo de Amores,10.53552244/g6a0f24,2025-06-28,Licencia de Funcionamiento,Seguridad Ciudadana,En Línea,1113.94,True,False,3,Baja
1054,Francisca Parejo Querol,10.97874876/i5z1e06,2025-06-01,Solicitud de Partida de Nacimiento,Tesorería,En Línea,0.0,True,False,30,Media
1055,Rodolfo Oller-Acosta,10.85285638/i0h5j31,2025-06-06,Permiso para Evento Público,Registro Civil,Presencial,1493.81,True,False,25,Media
1056,Concha Xiomara Riquelme Ferrer,10.95908688/p2i0a88,2025-06-29,Pago de Impuestos,Tesorería,Presencial,292.01,False,False,2,Alta
1057,Daniela Mármol Gallardo,10.70597916/q9d6h56,2025-05-18,Licencia de Construcción,Desarrollo Urbano,En Línea,170724.81,True,False,44,Alta
1058,Donato Leandro Plaza Mancebo,10.10818707/i9h8k26,2025-06-19,Reclamo de Servicio,Servicios Públicos,En Línea,0.0,True,False,12,Media
1059,Ximena Palacios-Gallart,10.7728094/e8x1h85,2025-06-06,Permiso para Evento Público,Registro Civil,Telefónico,1054.92,True,False,25,Media
1060,Bernardita Villena Santana,10.7968311/j9l6p22,2025-06-22,Licencia de Funcionamiento,Seguridad Ciudadana,Presencial,1712.15,True,False,9,Baja
1061,Tania Morales-Escudero,10.73115567/q8q3n58,2025-06-23,Licencia de Funcionamiento,Tesorería,Telefónico,1157.68,True,False,8,Baja
1062,Abraham Chuy Amo Viña,10.76888686/c5t3v22,2025-05-07,Pago de Impuestos,Tesorería,Telefónico,8656.59,False,False,55,Urgente
1063,Manuel Tristán Sanabria Múñiz,10.61992984/i2g1l28,2025-05-14,Solicitud de Partida de Nacimiento,Desarrollo Urbano,En Línea,0.0,True,False,48,Media
1064,Eva María Amat-Azcona,10.23618614/x5j8h24,2025-06-03,Reclamo de Servicio,Desarrollo Urbano,Presencial,0.0,False,False,28,Urgente
1065,Felicidad Villanueva Figueras,10.61167018/u1s1b55,2025-06-22,Licencia de Funcionamiento,Seguridad Ciudadana,Telefónico,2038.75,True,False,9,Baja
1066,Montserrat Bello Ródenas,10.86417778/s9y1z47,2025-06-07,Permiso para Evento Público,Servicios Públicos,Telefónico,269.93,True,True,24,Alta
1067,Joaquín Cebrián Costa Rojas,10.74054926/k3u3f76,2025-05-08,Licencia de Funcionamiento,Registro Civil,Telefónico,1348.67,False,True,54,Urgente
1068,Eligia de Araujo,10.21443317/v9l2m36,2025-05-27,Pago de Impuestos,Seguridad Ciudadana,En Línea,6142.72,False,False,35,Urgente
1069,Joan Sainz Atienza,10.95019726/p5z1s20,2025-05-23,Licencia de Construcción,Desarrollo Urbano,Telefónico,54367.72,False,False,39,Urgente
1070,Noa Iglesias Merino,10.52653354/r3l4h18,2025-05-05,Solicitud de Partida de Nacimiento,Desarrollo Urbano,Presencial,0.0,True,False,57,Media
1071,Aureliano Pina Noguera,10.19364118/f0m4n38,2025-05-02,Licencia de Funcionamiento,Servicios Públicos,Telefónico,953.77,True,False,60,Media
1072,Abril Ojeda Chacón,10.22571812/k2x9j57,2025-06-12,Reclamo de Servicio,Seguridad Ciudadana,Telefónico,0.0,False,False,19,Urgente
1073,Telmo Becerra Calderon,10.92882175/s3o4l72,2025-06-16,Reclamo de Servicio,Tesorería,Presencial,0.0,True,False,15,Media
1074,Delia Marí Arellano,10.53036837/d5d1y93,2025-06-09,Permiso para Evento Público,Seguridad Ciudadana,En Línea,709.35,False,False,22,Urgente
1075,Florentina Guillen Ribera,10.79064639/i7h2e66,2025-05-12,Licencia de Funcionamiento,Desarrollo Urbano,En Línea,1312.55,True,False,50,Media
1076,Édgar Acuña González,10.71542683/a6t2h38,2025-05-08,Permiso para Evento Público,Servicios Públicos,Telefónico,1344.65,True,False,54,Media
1077,Concha Larrañaga Raya,10.96996968/x6m7r17,2025-06-27,Reclamo de Servicio,Servicios Públicos,Telefónico,0.0,True,False,4,Media
1078,Reinaldo Hernandez Llobet,10.54947934/y3m2l67,2025-05-22,Solicitud de Partida de Nacimiento,Desarrollo Urbano,En Línea,0.0,True,False,40,Media
1079,Reyes del Piña,10.75158958/u1z2u73,2025-06-20,Licencia de Funcionamiento,Registro Civil,Presencial,829.77,True,False,11,Baja
1080,Feliciano de Durán,10.94924456/h3u1b00,2025-05-13,Licencia de Construcción,Seguridad Ciudadana,Presencial,160919.1,False,True,49,Urgente
1081,Lara Llamas Mulet,10.49180675/n6i1b43,2025-05-08,Reclamo de Servicio,Tesorería,Telefónico,0.0,True,False,54,Urgente
1082,Ramón Palomo Folch,10.38071680/r4k1q19,2025-06-18,Licencia de Construcción,Seguridad Ciudadana,Presencial,9949.07,True,False,13,Baja
1083,Margarita Pera,10.98531808/s0s5o69,2025-06-17,Licencia de Funcionamiento,Desarrollo Urbano,En Línea,2428.87,True,False,14,Baja
1084,Julián Planas Calatayud,10.38223713/z1d8m36,2025-05-08,Solicitud de Partida de Nacimiento,Tesorería,Telefónico,0.0,False,False,54,Urgente
1085,Tomasa Salud Gelabert Chaves,10.30903305/c4n8v45,2025-06-22,Licencia de Construcción,Registro Civil,Telefónico,175798.41,True,False,9,Baja
1086,Antonia Lobato,10.96526356/p8l5m16,2025-05-17,Reclamo de Servicio,Seguridad Ciudadana,Presencial,0.0,True,False,45,Urgente
1087,Benigna Calzada Morante,10.51604337/h2h7a57,2025-05-10,Permiso para Evento Público,Desarrollo Urbano,En Línea,1315.89,True,False,52,Media
1088,Samanta Juárez,10.64575807/x8f6v21,2025-06-10,Pago de Impuestos,Tesorería,Presencial,3256.88,True,False,21,Media
1089,Eulalia Llabrés Roma,10.46507078/j0r0x17,2025-06-07,Licencia de Construcción,Tesorería,Telefónico,95928.45,False,False,24,Urgente
1090,Maximiano de Ibáñez,10.73050327/h9e9k35,2025-06-02,Permiso para Evento Público,Tesorería,Telefónico,959.44,True,False,29,Media
1091,Leonel Máximo Rius Cárdenas,10.92990123/p2m0w40,2025-05-27,Licencia de Funcionamiento,Registro Civil,Telefónico,606.03,True,False,35,Media
1092,René Falcó Torrent,10.60257571/q1c2u76,2025-05-28,Reclamo de Servicio,Servicios Públicos,Telefónico,0.0,False,False,34,Urgente
1093,Bruno Abad-Crespi,10.47878622/w6w8c32,2025-05-15,Permiso para Evento Público,Seguridad Ciudadana,Presencial,1303.68,True,False,47,Media
1094,Luisa del Vicente,10.53938686/j9x8w61,2025-05-07,Licencia de Construcción,Desarrollo Urbano,En Línea,62261.1,False,False,55,Urgente
